#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-04-22T10:27:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cbd970941b4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/168/213&tab:{J/ApJS/168/213/cef_CIE}&key:source=J/ApJS/168/213/cef_CIE&HTTPPRM:&
#-source=J/ApJS/168/213/cef_CIE
#-order=I
#-out=T
#-out=Lambda(Z=1e-3)
#Lambda(Z=1e-3)=
#-out=Lambda(Z=1e-2)
#Lambda(Z=1e-2)=
#-out=Lambda(Z=1e-1)
#Lambda(Z=1e-1)=
#-out=Lambda(Z=1)
#Lambda(Z=1)=
#-out=Lambda(Z=2)
#Lambda(Z=2)=
#

#RESOURCE=yCat_21680213
#Name: J/ApJS/168/213
#Title: Ionization states and cooling efficiencies (Gnat+, 2007)
#Table	J_ApJS_168_213_cef_CIE:
#Name: J/ApJS/168/213/cef_CIE
#Title: CIE (Collisional Ionization Equilibrium) cooling efficiencies
#Column	T	(E9.2)	Temperature	[ucd=phys.temperature]
#Column	Lambda(Z=1e-3)	(E8.1)	Z=1e-3 cooling efficiency (G1) (1)	[ucd=stat.param]
#Column	Lambda(Z=1e-2)	(E8.1)	Z=1e-2 cooling efficiency (1) (G1)	[ucd=stat.param]
#Column	Lambda(Z=1e-1)	(E8.1)	Z=1e-1 cooling efficiency (1) (G1)	[ucd=stat.param]
#Column	Lambda(Z=1)	(E8.1)	Z=1 cooling efficiency (1) (G1)	[ucd=stat.param]
#Column	Lambda(Z=2)	(E8.1)	Z=2 cooling efficiency (1) (G1)	[ucd=stat.param]
T	Lambda(Z=1e-3)	Lambda(Z=1e-2)	Lambda(Z=1e-1)	Lambda(Z=1)	Lambda(Z=2)
 5.11e+05	 6.6e-24	 8.6e-24	 2.8e-23	 2.3e-22	 4.5e-22
 5.35e+05	 6.4e-24	 8.4e-24	 2.8e-23	 2.2e-22	 4.4e-22
 5.61e+05	 6.2e-24	 8.1e-24	 2.6e-23	 2.1e-22	 4.2e-22
 5.87e+05	 6.0e-24	 7.8e-24	 2.5e-23	 2.0e-22	 3.9e-22
 6.15e+05	 5.9e-24	 7.5e-24	 2.4e-23	 1.9e-22	 3.7e-22
 6.44e+05	 5.7e-24	 7.2e-24	 2.2e-23	 1.7e-22	 3.4e-22
 6.75e+05	 5.6e-24	 7.0e-24	 2.1e-23	 1.6e-22	 3.2e-22
 7.07e+05	 5.5e-24	 6.8e-24	 2.0e-23	 1.5e-22	 3.1e-22
 7.40e+05	 5.4e-24	 6.7e-24	 2.0e-23	 1.5e-22	 3.0e-22
 7.75e+05	 5.3e-24	 6.5e-24	 1.9e-23	 1.5e-22	 2.9e-22
 8.12e+05	 5.2e-24	 6.4e-24	 1.9e-23	 1.5e-22	 2.9e-22
 8.50e+05	 5.1e-24	 6.4e-24	 1.9e-23	 1.4e-22	 2.8e-22
 8.91e+05	 5.0e-24	 6.3e-24	 1.9e-23	 1.4e-22	 2.8e-22
 9.33e+05	 5.0e-24	 6.2e-24	 1.9e-23	 1.4e-22	 2.8e-22
 9.77e+05	 4.9e-24	 6.1e-24	 1.8e-23	 1.4e-22	 2.8e-22
 1.00e+06	 4.9e-24	 6.1e-24	 1.8e-23	 1.4e-22	 2.8e-22
 1.05e+06	 4.9e-24	 6.1e-24	 1.8e-23	 1.4e-22	 2.7e-22
 1.10e+06	 4.9e-24	 6.0e-24	 1.8e-23	 1.4e-22	 2.7e-22
 1.15e+06	 4.8e-24	 6.0e-24	 1.7e-23	 1.3e-22	 2.6e-22
 1.20e+06	 4.8e-24	 5.9e-24	 1.7e-23	 1.3e-22	 2.6e-22
 1.26e+06	 4.8e-24	 5.9e-24	 1.7e-23	 1.3e-22	 2.5e-22
 1.32e+06	 4.8e-24	 5.9e-24	 1.7e-23	 1.2e-22	 2.5e-22
 1.38e+06	 4.8e-24	 5.9e-24	 1.6e-23	 1.2e-22	 2.4e-22
 1.44e+06	 4.8e-24	 5.8e-24	 1.6e-23	 1.2e-22	 2.4e-22
 1.51e+06	 4.8e-24	 5.8e-24	 1.6e-23	 1.2e-22	 2.3e-22
 1.58e+06	 4.8e-24	 5.8e-24	 1.5e-23	 1.1e-22	 2.2e-22
 1.66e+06	 4.9e-24	 5.8e-24	 1.5e-23	 1.1e-22	 2.1e-22
 1.74e+06	 4.9e-24	 5.8e-24	 1.5e-23	 1.0e-22	 2.0e-22
 1.82e+06	 4.9e-24	 5.7e-24	 1.4e-23	 9.8e-23	 1.9e-22
 1.91e+06	 4.9e-24	 5.7e-24	 1.4e-23	 9.2e-23	 1.8e-22
 2.00e+06	 4.9e-24	 5.7e-24	 1.3e-23	 8.6e-23	 1.7e-22
 2.09e+06	 4.9e-24	 5.6e-24	 1.2e-23	 8.0e-23	 1.6e-22
 2.19e+06	 4.9e-24	 5.6e-24	 1.2e-23	 7.5e-23	 1.5e-22
 2.29e+06	 5.0e-24	 5.5e-24	 1.1e-23	 7.1e-23	 1.4e-22
 2.40e+06	 5.0e-24	 5.6e-24	 1.1e-23	 6.6e-23	 1.3e-22
 2.51e+06	 5.0e-24	 5.6e-24	 1.1e-23	 6.2e-23	 1.2e-22
 2.63e+06	 5.1e-24	 5.6e-24	 1.0e-23	 5.8e-23	 1.1e-22
 2.75e+06	 5.1e-24	 5.6e-24	 1.0e-23	 5.5e-23	 1.0e-22
 2.88e+06	 5.2e-24	 5.6e-24	 9.7e-24	 5.1e-23	 9.8e-23
 3.02e+06	 5.2e-24	 5.6e-24	 9.5e-24	 4.9e-23	 9.2e-23
 3.16e+06	 5.3e-24	 5.7e-24	 9.3e-24	 4.6e-23	 8.7e-23
 3.31e+06	 5.4e-24	 5.7e-24	 9.1e-24	 4.3e-23	 8.2e-23
 3.47e+06	 5.5e-24	 5.8e-24	 9.0e-24	 4.1e-23	 7.8e-23
 3.63e+06	 5.6e-24	 5.9e-24	 8.9e-24	 4.0e-23	 7.4e-23
 3.80e+06	 5.6e-24	 5.9e-24	 8.8e-24	 3.8e-23	 7.1e-23
 3.98e+06	 5.7e-24	 6.0e-24	 8.8e-24	 3.7e-23	 6.8e-23
 4.17e+06	 5.8e-24	 6.1e-24	 8.8e-24	 3.6e-23	 6.6e-23
 4.36e+06	 5.9e-24	 6.2e-24	 8.8e-24	 3.5e-23	 6.4e-23
 4.57e+06	 6.0e-24	 6.3e-24	 8.8e-24	 3.4e-23	 6.2e-23
 4.79e+06	 6.1e-24	 6.4e-24	 8.8e-24	 3.3e-23	 6.1e-23
 5.01e+06	 6.2e-24	 6.5e-24	 8.8e-24	 3.3e-23	 5.9e-23
 5.25e+06	 6.3e-24	 6.6e-24	 8.9e-24	 3.2e-23	 5.8e-23
 5.50e+06	 6.4e-24	 6.6e-24	 8.9e-24	 3.1e-23	 5.7e-23
 5.75e+06	 6.5e-24	 6.8e-24	 8.9e-24	 3.1e-23	 5.6e-23
 6.03e+06	 6.6e-24	 6.9e-24	 9.0e-24	 3.1e-23	 5.5e-23
 6.31e+06	 6.8e-24	 7.0e-24	 9.1e-24	 3.0e-23	 5.4e-23
 6.61e+06	 6.9e-24	 7.1e-24	 9.2e-24	 3.0e-23	 5.4e-23
 6.92e+06	 7.0e-24	 7.2e-24	 9.2e-24	 3.0e-23	 5.3e-23
 7.24e+06	 7.1e-24	 7.3e-24	 9.3e-24	 3.0e-23	 5.3e-23
 7.59e+06	 7.2e-24	 7.4e-24	 9.4e-24	 3.0e-23	 5.3e-23
 7.94e+06	 7.4e-24	 7.5e-24	 9.6e-24	 3.0e-23	 5.3e-23
 8.32e+06	 7.5e-24	 7.7e-24	 9.7e-24	 3.0e-23	 5.2e-23
 8.71e+06	 7.6e-24	 7.8e-24	 9.8e-24	 3.0e-23	 5.2e-23
 9.12e+06	 7.7e-24	 7.9e-24	 9.9e-24	 2.9e-23	 5.2e-23
 9.55e+06	 7.9e-24	 8.1e-24	 1.0e-23	 2.9e-23	 5.1e-23
 1.00e+07	 8.0e-24	 8.2e-24	 1.0e-23	 2.9e-23	 5.1e-23
 1.05e+07	 8.2e-24	 8.4e-24	 1.0e-23	 2.9e-23	 5.0e-23
 1.10e+07	 8.3e-24	 8.5e-24	 1.0e-23	 2.9e-23	 4.9e-23
 1.15e+07	 8.5e-24	 8.7e-24	 1.0e-23	 2.8e-23	 4.8e-23
 1.20e+07	 8.7e-24	 8.9e-24	 1.0e-23	 2.8e-23	 4.7e-23
 1.26e+07	 8.9e-24	 9.0e-24	 1.1e-23	 2.7e-23	 4.5e-23
 1.32e+07	 9.1e-24	 9.2e-24	 1.1e-23	 2.6e-23	 4.4e-23
 1.38e+07	 9.2e-24	 9.3e-24	 1.1e-23	 2.5e-23	 4.2e-23
 1.44e+07	 9.4e-24	 9.5e-24	 1.1e-23	 2.5e-23	 4.0e-23
 1.51e+07	 9.6e-24	 9.7e-24	 1.1e-23	 2.4e-23	 3.8e-23
 1.58e+07	 9.8e-24	 9.9e-24	 1.1e-23	 2.3e-23	 3.6e-23
 1.66e+07	 1.0e-23	 1.0e-23	 1.1e-23	 2.2e-23	 3.5e-23
 1.74e+07	 1.0e-23	 1.0e-23	 1.1e-23	 2.2e-23	 3.3e-23
 1.82e+07	 1.0e-23	 1.0e-23	 1.1e-23	 2.1e-23	 3.2e-23
 1.91e+07	 1.1e-23	 1.1e-23	 1.2e-23	 2.0e-23	 3.0e-23
 2.00e+07	 1.1e-23	 1.1e-23	 1.2e-23	 2.0e-23	 2.9e-23
 2.09e+07	 1.1e-23	 1.1e-23	 1.2e-23	 2.0e-23	 2.8e-23
 2.19e+07	 1.1e-23	 1.1e-23	 1.2e-23	 1.9e-23	 2.8e-23
 2.29e+07	 1.2e-23	 1.2e-23	 1.2e-23	 1.9e-23	 2.7e-23
 2.40e+07	 1.2e-23	 1.2e-23	 1.2e-23	 1.9e-23	 2.6e-23
 2.51e+07	 1.2e-23	 1.2e-23	 1.3e-23	 1.9e-23	 2.6e-23
 2.63e+07	 1.2e-23	 1.2e-23	 1.3e-23	 1.9e-23	 2.6e-23
 2.75e+07	 1.2e-23	 1.3e-23	 1.3e-23	 1.9e-23	 2.5e-23
 2.88e+07	 1.3e-23	 1.3e-23	 1.3e-23	 1.9e-23	 2.5e-23
 3.02e+07	 1.3e-23	 1.3e-23	 1.4e-23	 1.9e-23	 2.5e-23
 3.16e+07	 1.3e-23	 1.3e-23	 1.4e-23	 1.9e-23	 2.5e-23
 3.31e+07	 1.3e-23	 1.4e-23	 1.4e-23	 1.9e-23	 2.6e-23
 3.47e+07	 1.4e-23	 1.4e-23	 1.4e-23	 2.0e-23	 2.6e-23
 3.63e+07	 1.4e-23	 1.4e-23	 1.5e-23	 2.0e-23	 2.6e-23
 3.80e+07	 1.4e-23	 1.4e-23	 1.5e-23	 2.0e-23	 2.6e-23
 3.98e+07	 1.5e-23	 1.5e-23	 1.5e-23	 2.1e-23	 2.7e-23
 4.17e+07	 1.5e-23	 1.5e-23	 1.5e-23	 2.1e-23	 2.7e-23
 4.36e+07	 1.5e-23	 1.5e-23	 1.6e-23	 2.1e-23	 2.7e-23
 4.57e+07	 1.5e-23	 1.5e-23	 1.6e-23	 2.2e-23	 2.8e-23
 4.79e+07	 1.6e-23	 1.6e-23	 1.6e-23	 2.2e-23	 2.8e-23
 5.01e+07	 1.6e-23	 1.6e-23	 1.7e-23	 2.2e-23	 2.9e-23
 5.25e+07	 1.6e-23	 1.6e-23	 1.7e-23	 2.3e-23	 2.9e-23
 5.50e+07	 1.7e-23	 1.7e-23	 1.7e-23	 2.3e-23	 3.0e-23
 5.75e+07	 1.7e-23	 1.7e-23	 1.8e-23	 2.3e-23	 3.0e-23
 6.03e+07	 1.7e-23	 1.7e-23	 1.8e-23	 2.4e-23	 3.1e-23
 6.31e+07	 1.7e-23	 1.8e-23	 1.8e-23	 2.4e-23	 3.1e-23
 6.61e+07	 1.8e-23	 1.8e-23	 1.8e-23	 2.4e-23	 3.1e-23
 6.92e+07	 1.8e-23	 1.8e-23	 1.9e-23	 2.5e-23	 3.1e-23
 7.24e+07	 1.8e-23	 1.8e-23	 1.9e-23	 2.5e-23	 3.2e-23
 7.59e+07	 1.8e-23	 1.8e-23	 1.9e-23	 2.5e-23	 3.2e-23
 7.94e+07	 1.9e-23	 1.9e-23	 1.9e-23	 2.5e-23	 3.2e-23
 8.32e+07	 1.9e-23	 1.9e-23	 1.9e-23	 2.6e-23	 3.2e-23
 8.71e+07	 1.9e-23	 1.9e-23	 2.0e-23	 2.6e-23	 3.3e-23
 9.12e+07	 1.9e-23	 1.9e-23	 2.0e-23	 2.6e-23	 3.3e-23
 9.55e+07	 1.9e-23	 1.9e-23	 2.0e-23	 2.6e-23	 3.3e-23
 1.00e+08	 2.0e-23	 2.0e-23	 2.0e-23	 2.6e-23	 3.3e-23

